,,,,
,,,,
,,,,
공 사 명 : 부지조성공사 3-1공구(정산),,,,
구       분,규     격,단위, 수량 ,비  고
"       (1). 변실,현장타설,1.2x1.2",TYPE- 1,nr, - ,
"       (2). 변실,현장타설,2.0X1.5",TYPE- 2,nr, 17.00 ,
"       (3). 변실,현장타설,2.5X2.0",TYPE- 3,nr, 7.00 ,
"       (4). 변실,현장타설,3.0X2.0",TYPE- 4,nr, - ,
"       (5). 변실,현장타설,3.0X3.0",TYPE- 5,nr, - ,
"       (5). 변실,현장타설,3.5X3.0",TYPE- 6,nr, - ,
"       (6). 변실,현장타설,4.0X3.0",TYPE- 7,nr, - ,
"       (7). 변실,현장타설,5.0X4.0",TYPE- 8,nr, - ,
"       (8). 변실,현장타설,6.0X4.0",TYPE- 9,nr, - ,
"       (9). 변실,현장타설,6.6X4.0",TYPE- 10,nr, - ,
"       (10). 변실,현장타설,9.2X5.4",TYPE- 11,nr, - ,
       (11). 프라이머 방수,1133,m2, 777.00 ,
       (12). 모체침투성 방수,,m2, - ,
4. 부대공,,, - ,
   1). 관로표식테이프,,m," 15,381.00 ",
   2). 퇴수시험,,m3, - ,
   3). 수압시험,,ea, 47.00 ,
,,, - ,
,,, - ,
7. 전기/통신/가로등(전기공사 제외),,, - ,
1. 토공,,, - ,
   1). 터파기(전기),,m3,,
"   2). 터파기(통신,가로등)",,m3," 15,452.00 ",
   3). 되메우기(전기),,m3,,
"   4). 되메우기(통신,가로등)",,m3," 13,630.00 ",
2. 전선관,,, - ,
   1). ELP관,,, - ,
"       (1). ELP, 공칭직경 30mm",,m, - ,
"       (2). ELP, 공칭직경 40mm",,m, - ,
"       (3). ELP, 공칭직경 50mm",,m," 11,482.00 ",
"       (3). ELP, 공칭직경65mm",,, - , 내역 외 
"       (4). ELP, 공칭직경 75mm",,m," 5,659.00 ",
"       (5). ELP, 공칭직경 80mm",,m, - ,
"       (6). ELP, 공칭직경 90mm",,m, - ,
"       (6). ELP, 공칭직경 125mm",,m, - ,
"       (6). ELP, 공칭직경 150mm",,m,, 내역 외 
"       (7). ELP, 공칭직경 160mm",내경 150mm,m," 6,908.00 ",
COD 100mm,,m,, 내역 외 
COD 90mm,,m,, 내역 외 
   2). PVC/PE 관,,, - ,
"       (1). PVC, 공칭직경 42mm",,m, - ,
"       (2). PVC, 공칭직경 54mm",,m, - ,
"       (3). PVC, 공칭직경 82mm",,m, - ,
"       (4). PVC, 공칭직경 110mm",,m, - ,
"       (5). PVC, 공칭직경 125mm",,m, - ,
3. Protection Plate,현장제작(0.8x0.4x0.04),ea, - ,
4. 맨홀,,ea, - ,
5. 통신맨홀,,ea, - , 내역 외 
5. 가로등 핸드홀/기초,,, - ,
   1). 핸드홀,현장타설,ea, 25.00 ,
   2). 제어반 기초,현장타설,ea, 7.00 ,
   3). 가로등 기초,가로등기초 제작 제외,ea, 266.00 ,
,,, - ,
8. Irrigation공(메인관로),,, - ,
1. 토공,,, - ,
   1). 터파기,,m3," 16,503.00 ",
   2). 되메우기(기계+인력),,m3," 14,706.00 ",
   3). 되메우기(인력),,m3, 195.00 ,
2. 관로공,,, - ,
   1). HDPE pipe,,, - ,
"       (1). HDPE pipe,공칭직경 32mm",,m, 270.00 ,
"       (2). HDPE pipe,공칭직경 40mm",,m," 1,189.00 ",
"       (3). HDPE pipe,공칭직경 50mm",,m, 147.00 ,
"       (4). HDPE pipe,공칭직경 63mm",,m, 135.00 ,
"       (5). HDPE pipe,공칭직경 90mm",,m," 3,227.00 ",
"       (6). HDPE pipe,공칭직경 110mm",,m," 3,817.00 ",
"       (7). HDPE pipe,공칭직경 160mm",,m," 2,242.00 ",
"       (8). HDPE pipe,공칭직경 200mm",,m, 794.00 ,
"       (9). HDPE pipe,공칭직경 280mm",,m, 27.00 ,
"       (10). HDPE pipe,공칭직경 315mm",,m, 785.00 ,
"       (11). HDPE pipe,공칭직경 355mm",,m, 25.00 ,
"       (12). HDPE pipe,공칭직경 400mm",,m, - ,
"       (13). HDPE pipe,공칭직경 450mm",,m, - ,
"       (14). HDPE pipe,공칭직경 500mm",,m, - ,
"       (15). HDPE pipe,공칭직경 710mm",,m, - ,
3. 변실,,, - ,
"       (1). 변실,현장타설,1.2x1.2",TYPE- 1,nr, 4.00 ,
"       (2). 변실,현장타설,2.0X1.5",TYPE- 2,nr, 6.00 ,
"       (3). 원형,현장타설, ",D=1200mm,nr, 14.00 ,
       (4). 프라이머 방수,,m2, - ,
4. 부대공,,, - ,
   1). 수압시험,,ea, 81.00 ,
,,, - ,
9. 기타공,,, - ,
1. 맨홀 제작,,, - ,
   1). 원형맨홀 1호,,ea, 15.00 ,
   2). 원형맨홀 2호,,ea, 1.00 ,
   3). 원형맨홀 3호,,ea,,
   4). 원형맨홀 4호 벽체,,ea, 2.00 ,
   5). 가로등 기초,,ea, 266.00 ,
   6). 우수받이,,ea, 159.00 ,
   7). 오수받이,,ea, - ,
2. 철근제작장 운영,,, - ,
   1). 철근제작장 운영,,ton, 123.00 ,
3. 공사용 가도(골재포장),,, - ,
   1). 토사성토,"L=1.0km, B=9m, t=70cm",m3," 2,000.00 ",
   2). 토사운반,,m3," 2,000.00 ",
   3). 골재포설 및 다짐,"L=1.0km, B=9m, t=20cm",m3, 900.00 ,
4. Main Nursary 급수라인,,, - ,
   1). 토공,,, - ,
       (1). 터파기,,m3, - ,
       (2). 되메우기(기계+인력),,m3, - ,
   3). 관로,,, - ,
"       (1). HDPE pipe,공칭직경 160mm",,m, - ,
   4). 제수변 보호통 설치,,ea, - ,
   5). 도로횡단부 콘크리트 보강,,m, - ,
   6). 아스콘 포장보수,"W=0.7m, L=6m",m2, - ,
   6). Irrigation Channel->Main Nursery 공급라인,,식, - ,
10. 추가공사,,,,
(1) 치환층 재다짐,재다짐,m1," 48,216.20 ",
(2) 서브베이스 재다짐,재다짐,m2," 39,401 ",
(3) 베이스코스 재다짐,재다짐,m2," 41,345 ",
