,,,,
,,,,
,,,,
공 사 명 : 부지조성공사 3-2공구 잔여(정산),,,,
구       분,규     격,단위, 수량 ,비  고
,,,,
,,,,
1. 토공,,,,
2. 포장공,,,,
3. 우수공,,,,
4. 오수공,,,,
5. 상수공,,,,
6. 공동구,,,,
7. 전기/통신/가로등(전기공사 제외),,,,
8. Irrigation공(메인관로),,,,
9. 기타공,,,,
10. Priority,,,,
11. 오수중계펌프장,,,,
12. 우수빗물펌프장,,,,
,,,,
[  직 접 공 사 비 계 ],,,,
,,,,
,,,,
,,,,
   2). 물푸기,,hr, - ,
   3). 수압시험,,ea, - ,
   4). 수밀검사,,ea, - ,
,,, - ,
5. 상수공,0,0, - ,
1. 토공,,, - ,
   1). 터파기,,m3," 3,706.00 ",
   2). 되메우기(기계+인력),,m3," 2,497.00 ",
   3). 되메우기(인력),,m3," 1,501.00 ",
2. 관로공,,, - ,
   1). GRP pipe,,, - ,
"       (1). GRP pipe,공칭직경 250mm","Ø250mm, 모래기초360˚",m, 564.00 ,
"       (2). GRP pipe,공칭직경 300mm","Ø300mm, 모래기초360˚",m," 1,032.00 ",
"       (3). GRP pipe,공칭직경 400mm","Ø400mm, 모래기초360˚",m, 61.00 ,
"       (4). GRP pipe,공칭직경 500mm","Ø500mm, 모래기초360˚",m, - ,
"       (5). GRP pipe,공칭직경 600mm","D600mm,모래기초360˚",m, - ,
"       (6). GRP pipe,공칭직경 700mm","Ø700mm, 모래기초360˚",m, - ,
"       (7). GRP pipe,공칭직경 800mm","D800mm,모래기초360˚",m, - ,
"       (8). GRP pipe,공칭직경 900mm","Ø900mm, 모래기초360˚",m, - ,
"       (9). GRP pipe,공칭직경 1,000mm","Ø1,000mm, 모래기초360˚",m, - ,
"       (10). GRP pipe,공칭직경 1,200mm","Ø1,200mm, 모래기초360˚",m, - ,
"       (11). GRP pipe,공칭직경 1,600mm","Ø1,600mm, 모래기초360˚",m, - ,
   2). HDPE pipe,,, - ,
"       (1). HDPE pipe,공칭직경 63mm",,m, 149.00 ,
"       (2). HDPE pipe,공칭직경 90mm",,m, 140.00 ,
"       (3). HDPE pipe,공칭직경 110mm",,m, 28.00 ,
"       (4). HDPE pipe,공칭직경 160mm",,m, - ,
"       (5). HDPE pipe,공칭직경 225mm",,m, - ,
   3). 소화전 설치,,ea, 19.00 ,
3. 변실,,, - ,
"       (1). 변실,현장타설,1.2x1.2",,nr, - ,
"       (2). 변실,현장타설,2.0X1.5",,nr, 20.00 ,
"       (3). 변실,현장타설,2.5X2.0",,nr, 3.00 ,
"       (4). 변실,현장타설,3.0X2.0",,nr, - ,
"       (5). 변실,현장타설,3.0X3.0",,nr, - ,
"       (6). 변실,현장타설,3.5X3.0",,nr, - ,
"       (7). 변실,현장타설,4.0X3.0",,nr, - ,
"       (8). 변실,현장타설,5.0X4.0",,nr, - ,
"       (9). 변실,현장타설,6.0X4.0",,nr, - ,
"       (10). 변실,현장타설,6.6X4.0",,nr, - ,
"       (11). 변실,현장타설,9.2X5.4",,nr, - ,
"       (12). 변실,현장타설,2.0x1.5",,nr, - ,
       (13). 프라이머 방수,,m2, 695.00 ,
4. 부대공,,, - ,
   1). 관로표식테이프,,m," 5,423.00 ",
   3). 수압시험,,ea, 18.00 ,
,,, - ,
7. 전기/통신/가로등(전기공사 제외),0,0, - ,
1. 토공,,, - ,
   1). 터파기(전기),,m3," 4,966.00 ",
"   2). 터파기(통신,가로등)",,m3," 13,413.00 ",
   3). 되메우기(전기),,m3," 4,167.00 ",
"   4). 되메우기(통신,가로등)",,m3," 11,797.00 ",
2. 전선관,,, - ,
   1). ELP관,,, - ,
"       (1). ELP, 공칭직경 30mm",,m, - ,
"       (2). ELP, 공칭직경 40mm",,m, - ,
"       (3). ELP, 공칭직경 50mm",,m," 9,712.00 ",
"       (4). ELP, 공칭직경 75mm",,m," 4,800.00 ",
"       (5). ELP, 공칭직경 80mm",,m, - ,
"       (6). ELP, 공칭직경 90mm",,m," 1,486.00 ",
"       (7). ELP, 공칭직경 150mm",,m, - ,
"       (8). ELP, 공칭직경 160mm",,m," 8,893.00 ",
3. Protection Plate,현장제작(0.8x0.4x0.04),ea," 7,018.00 ",
4. 전기맨홀,,ea, 33.00 ,
5. 가로등 핸드홀/기초,,, - ,
   1). 핸드홀,,ea, 29.00 ,
   2). 제어반기초,,ea, 5.00 ,
   3). 가로등기초,,ea, 230.00 ,
0,0,0, - ,
8. Irrigation공(메인관로),0,0, - ,
1. 토공,,, - ,
   1). 터파기,,m3," 12,113.00 ",
   2). 되메우기(기계+인력),,m3," 9,892.00 ",
   3). 되메우기(인력),,m3," 2,792.00 ",
2. 관로공,,, - ,
   1). HDPE pipe,,, - ,
"       (1). HDPE pipe,공칭직경 32mm~63mm",,m," 1,130.00 ",
"       (5). HDPE pipe,공칭직경 90mm",,m," 1,589.00 ",
"       (6). HDPE pipe,공칭직경 110mm",,m," 3,264.00 ",
"       (7). HDPE pipe,공칭직경 160mm",,m," 2,208.00 ",
"       (8). HDPE pipe,공칭직경 200mm",,m, 50.00 ,
"       (9). HDPE pipe,공칭직경 280mm",,m, 60.00 ,
"       (10). HDPE pipe,공칭직경 315mm",,m, - ,
"       (11). HDPE pipe,공칭직경 355mm",,m, - ,
"       (12). HDPE pipe,공칭직경 400mm",,m, - ,
"       (13). HDPE pipe,공칭직경 450mm",,m, - ,
"       (14). HDPE pipe,공칭직경 500mm",,m, - ,
"       (15). HDPE pipe,공칭직경 710mm",,m, - ,
3. 변실,,, - ,
"       (1). 변실,현장타설,1.2x1.2",TYPE- 1,nr, 9.00 ,
"       (2). 변실,현장타설,2.0X1.5",TYPE- 2,nr, 6.00 ,
"       (3). 변실,현장타설,2.5X2.0",TYPE- 3,nr, - ,
"       (11). 변실,Circle D=1200",변실제작 제외(1호맨홀),nr, 11.00 ,
       (12) 프라이머 방수,0,m2, 489.00 ,
4. 부대공,0,0, - ,
   1). 관로표식테이프,0,m," 18,932.00 ",
   1). 수압시험,0,ea, 36.00 ,
,,, - ,
9. 기타공,0,0, - ,
1. 맨홀 제작,,, - ,
   1). 원형맨홀 1호,,ea, 16.00 ,
   2). 원형맨홀 2호,,ea, 2.00 ,
   3). 원형맨홀 3호,,ea, - ,
   4). 원형맨홀 4호 벽체,,ea, - ,
   5). 가로등 기초,,ea, 230.00 ,
   6). 우수받이,,ea, 183.00 ,
2. 철근제작장 운영,,, - ,
   1). 철근제작장 운영,,ton, 78.14 ,
3. 북측수로 이설,,, - ,
   1). 터파기 및 비탈면 고르기,,m3, - ,
   2).  잔토처리(토사이동),,m3, - ,
4. 환경관리비 및 준공청소비,,식, 1.00 ,
5. 수방대책비,,식, 1.00 ,
11. 기타공사비,수압/수밀시험 기자재 구입비,식, - ,
,,, - ,
11. 추가공사,,,,
(1). 서브베이스 재다짐,재다짐,m2, 10.947.3 ,
(2). 베이스코스 재다짐,재다짐,m2," 21,593 ",
